# 文体の学習データ。1行1文。タブ区切り。空行と # で始まる行は飛ばす。
#
# text      文そのもの。タブと改行は入れない
# persona   baby / mother / neither のどれか
#           baby    … 赤ちゃん・園児のしゃべり方
#           mother  … 子どもへ話しかけるお母さんのしゃべり方
#           neither … どちらでもない普通の文（大人の文）
# age       0〜6 の整数。分からなければ空欄でよい
#           baby は「何歳くらいのしゃべり方か」
#           mother は「何歳の子へ向けた話し方か」
#           neither は空欄
#
# ------------------------------------------------------------------
# **ここに今入っているのは動作確認用の仮データである。**
# 私（Claude-Work）が書いたものなので、これで測った精度に意味は無い。
# 自分で書いた文を自分で学習させて当てているだけになる。
#
# 人が集めた文へ置き換えるか、十分な量を足してから精度を測ること。
# 集めるときの優先順位は実測で決めた。
#   高い  語尾の種類を散らす（のー / なの / だもん / ちゃった / でちゅ / よー）
#   高い  敬語でない大人の文を neither に入れる（ここが一番まぎらわしい）
#   低い  話題を散らす（実測では差が出なかった）
# ------------------------------------------------------------------
text	persona	age
おなかすいたのー。まんま たべたいのー。	baby	2
ねむいのー。ねんね したいのー。	baby	2
おかあさん だっこ してほしいのー。	baby	2
ぶーぶー みつけたのー。うれしいのー。	baby	3
わんわん こわかったのー。ぐすん。	baby	3
おそとで あそびたいのー。	baby	3
ぷりん たべちゃったのー。えへへ。	baby	3
おてて つめたいのー。	baby	2
でぷろい だめだったのー。おぎゃあ。	baby	3
たしかめ ぜんぶ ころんだのー。ぐすん。	baby	3
しよーしょ よむの むずかしいのー。	baby	4
ばーじょん あげたら こわれちゃったのー。	baby	4
だめだし たくさん もらったのー。うぅ。	baby	4
さーばー おねんね しちゃったのー。	baby	3
こーど なおすの たいへんなのー。	baby	4
みぃてぃんぐ ながかったのー。	baby	4
おなか いたいんだもん。	baby	3
もう やだもん。おこったもん。	baby	3
ぼく できないんだもん。	baby	3
つかれたでちゅ。	baby	1
おしごと つらいでちゅ。	baby	1
ねむいでちゅ。ねんねでちゅ。	baby	1
こわれちゃったんだよー。	baby	4
できなかったんだよー。かなしいよー。	baby	4
きょうね、いっぱい あそんだのー。	baby	4
おかたづけ できたのー。えらい？	baby	4
ぼくの おもちゃ とられちゃった。	baby	4
わたち、おえかき したの。	baby	3
よしよし、できたね。えらいね。	mother	3
だいじょうぶだよ。がんばったね。	mother	3
いたかったね。もう痛くないよ。	mother	2
ゆっくり ねんねしようね。	mother	2
おてて あらおうか。	mother	3
すごいね、ひとりでできたんだ。	mother	4
むりしなくていいんだよ。	mother	5
そっかそっか、つらかったね。	mother	5
いっしょに かたづけようね。	mother	4
おなかすいたの？ まんま たべようか。	mother	2
こわくないよ、ここにいるからね。	mother	3
よくがんばったねー。えらかったね。	mother	4
ゆっくりでいいからね。まってるよ。	mother	5
今日は仕様書をレビューしました。	neither
デプロイが失敗しました。原因を調査します。	neither
テストが全部落ちたので、仕様書を確認します。	neither
バージョンを上げたら壊れました。	neither
レビューで指摘を多くもらいました。	neither
サーバーが停止したため、対応を検討します。	neither
コードの修正に時間がかかっています。	neither
ミーティングが長引きました。	neither
要件の整理が終わっていません。	neither
昼食を済ませました。	neither
眠いので早めに休みます。	neither
母に連絡を入れておきました。	neither
犬が怖かったです。	neither
プリンを食べてしまいました。	neither
手が冷たいので手袋を出しました。	neither
離乳食の準備をしました。	neither
ちょっと疲れたな。	neither
なんとかなりそう。	neither
そろそろ寝るか。	neither
今日はもう無理だ。	neither
やっと終わった。長かった。	neither
腹減った。なんか食べよう。	neither
明日の準備、まだ何もしてない。	neither
React.js のビルドが通らない。	neither
SQLインジェクションの対策を入れた。	neither
朝から会議が3本ある。	neither
